Tweet,Num_Favorites,Num_Retweets,Num_Followers,Created_At,id
"Food workers.
Grocery clerks.
Cashiers.
Delivery drivers.
Warehouse stockers.

They were never “unskilled workers.”
They were always essential.

And it’s WAY past time they got the respect they deserve w/ a living wage, paid sick leave, guaranteed healthcare, hazard pay, &amp; more.",359951,81568,6662021,2020-03-22 14:25:06,1241732642447462402
Thank you to Fred Smith and @FedEx for the rapid emergency deliveries you are making all over our Nation. Keep it going!,101942,19660,75463806,2020-03-22 14:49:27,1241738770640232448
Working very well with States and our Nation’s Governors. #TEAMWORK,94768,16508,75463806,2020-03-22 14:52:09,1241739447122776064
"🎂HAPPY BIRTHDAY TO #RENJUN
WE💚YOU

#HAPPYRENJUNDAY
#런쥔 #NCT #NCTDREAM https://t.co/NZH9B8RPoP",181940,107939,3304788,2020-03-22 15:00:00,1241741424208433153
"States are competing to buy medical masks that went from $0.58 to $7 a piece.

We cannot tolerate price-gouging in the middle of this pandemic.

The president must immediately use the Defense Production Act to order companies to make the protective gear our health workers need. https://t.co/OoGVWXXvm0",39890,10515,9464066,2020-03-22 15:33:36,1241749880151904258
"Quarantine day 11: 
 https://t.co/eKsR0tureq",381981,84837,615496,2020-03-22 15:46:05,1241753020435697671
"I’m going to give away $30,000 to 1 random person who retweets this tweet AND follows Twitter Philanthropist @Pulte and Me!! (If you don’t follow us, we can’t DM you the money) Will show proof! Much love",620542,1032735,7211294,2020-03-22 16:00:34,1241756665856155648
".@JBPritzker, Governor of Illinois, and a very small group of certain other Governors, together with Fake News @CNN &amp; Concast (MSDNC), shouldn’t be blaming the Federal Government for their own shortcomings. We are there to back you up should you fail, and always will be!",120687,28520,75463806,2020-03-22 16:14:59,1241760294776561667
Millions may now lose their jobs. And Trump wants our response to be a half-trillion dollar slush fund to boost favored companies and corporate executives – while they continue to pull down huge paychecks and fire their workers. Here’s what I know and how we stop it:,90187,26496,5781847,2020-03-22 16:35:24,1241765430533988352
"You wasted precious months when you could've taken action to protect Americans &amp; Illinoisans.

You should be leading a national response instead of throwing tantrums from the back seat. 

Where were the tests when we needed them?

Where's the PPE?

Get off Twitter &amp; do your job. https://t.co/WESJITCAwg",173640,45490,103093,2020-03-22 16:54:08,1241770144545869826
When this is over please invite me everywhere I promise I’ll go this time,143160,54341,107203,2020-03-22 17:13:35,1241775042712780801
"The hard working men and women of @UPS are working overtime to maintain our supply chain and deliver medical supplies to those in need. Your work is critical to the health of our nation, keep it up!",198111,32301,75463806,2020-03-22 17:32:30,1241779803344248835
"Bad news. After saying they wanted to join us in helping workers, families, and small + midsized businesses that are going under, Trump and McConnell have taken a total U-turn. They just want to bail out big corporate cronies at everyone else’s expense. Unacceptable.",44599,17631,173233,2020-03-22 18:05:27,1241788091662249985
Life comes at you fast https://t.co/4G30SXduNI,383464,74176,1229087,2020-03-22 18:23:33,1241792646667890688
"Sen. @EWarren: ""This is not a bipartisan proposal. This is a Republican proposal at this point, and it creates a slush fund for the big guys and no help for workers and no help for hospitals, and I don't see how the Democrats can possibly support that."" https://t.co/pcnQtPNTha",36016,12252,3647797,2020-03-22 18:49:58,1241799294975463428
"so sad, so many people are dying without any family by their side. we have to take this more seriously. https://t.co/VGhslNlicJ",151399,26629,4355202,2020-03-22 18:51:57,1241799794202259456
"“If you are irresponsible enough to think that you don’t mind if you get the flu, remember it’s not about you - it’s about everybody else.”

Intensive care specialist Professor Hugh Montgomery explains why this coronavirus is different from the ordinary flu. https://t.co/h9sQorHQUv",42253,32069,71088,2020-03-22 19:06:17,1241803403619172359
"I just want to get this straight, Rand Paul, who has been downplaying this virus for weeks and voted against giving Americans aid, is asymptomatic and can get a test immediately? But, my friends daughter in NY has 104 fever and a dry cough and they cannot get her tested anywhere.",177513,36420,515304,2020-03-22 19:27:48,1241808819753086976
"My Grandad died this afternoon. 

We could not visit him because of the virus

If you’re cracking on as normal, you will soon understand how serious this is when friend or family goes to hospital

You may never see them again.

Don’t be a prick, we are at war. Don’t socialise",54967,16579,9906,2020-03-22 20:08:54,1241819162009382912
"You know how there's all those places where people are?

Don't be there. https://t.co/Cxf0ON3Fxf",135429,24383,3714310,2020-03-22 20:32:33,1241825112711516160
"“GOP *refusing to increase $ for hospitals,* but HAVE increased corporate bailout $.”

The Senate GOP plan is corrupt.  Their greed &amp; incompetence is going to get people killed. Others will be displaced, or unable to eat.

They‘re holding our country hostage for a Wall St payday. https://t.co/lySpwfDNck",65637,22599,6662021,2020-03-22 20:33:37,1241825383118495747
"I spoke earlier today with the Dir of Emergency Medicine at the largest hospital in Westchester, who told me that the hospital’s supply of PPE was so dire this week that he drove to Brooklyn and bought 1,000 masks at $6.50/mask with his own money. Where is the federal government?",67744,25001,138244,2020-03-22 20:40:32,1241827122001457159
Controversial but maybe this is a good time for hospital car parks to be free for NHS staff? Retweet if you agree 👊🏼,170364,113653,162133,2020-03-22 20:58:27,1241831632249724934
